,City,City Link,Course,Course Link
42,Bakersfield,http://www.golfcalifornia.com/courses/bakersfield/,Bakersfield Country Club,http://www.golfcalifornia.com/courses/bakersfield/bakersfield-cc/
43,Bakersfield,http://www.golfcalifornia.com/courses/bakersfield/,Islands/Oaks Course at Seven Oaks Country Club,http://www.golfcalifornia.com/courses/bakersfield/seven-oaks-cc/
44,Bakersfield,http://www.golfcalifornia.com/courses/bakersfield/,Kern River Golf Course,http://www.golfcalifornia.com/courses/bakersfield/kern-river-gc/
45,Bakersfield,http://www.golfcalifornia.com/courses/bakersfield/,Lakes/Islands Course at Seven Oaks Country Club,http://www.golfcalifornia.com/courses/bakersfield/seven-oaks-cc-9/
46,Bakersfield,http://www.golfcalifornia.com/courses/bakersfield/,North Kern Golf Course,http://www.golfcalifornia.com/courses/bakersfield/north-kern-gc/
47,Bakersfield,http://www.golfcalifornia.com/courses/bakersfield/,Oaks/Lakes Course at Seven Oaks Country Club,http://www.golfcalifornia.com/courses/bakersfield/seven-oaks-cc-oaks-lakes/
48,Bakersfield,http://www.golfcalifornia.com/courses/bakersfield/,Rio Bravo Country Club,http://www.golfcalifornia.com/courses/bakersfield/rio-bravo-cc/
49,Bakersfield,http://www.golfcalifornia.com/courses/bakersfield/,Stockdale Country Club,http://www.golfcalifornia.com/courses/bakersfield/stockdale-cc/
50,Bakersfield,http://www.golfcalifornia.com/courses/bakersfield/,Sundale Country Club,http://www.golfcalifornia.com/courses/bakersfield/sundale-cc/
51,Bakersfield,http://www.golfcalifornia.com/courses/bakersfield/,The Links at River Lakes Ranch,http://www.golfcalifornia.com/courses/bakersfield/links-at-river-lakes-ranch/
52,Banning,http://www.golfcalifornia.com/courses/banning/,Sun Lakes Country Club,http://www.golfcalifornia.com/courses/banning/sun-lakes-cc/
53,Banning,http://www.golfcalifornia.com/courses/banning/,Sun Lakes Country Club Executive Course,http://www.golfcalifornia.com/courses/banning/sun-lakes-cc-exec/
54,Barstow,http://www.golfcalifornia.com/courses/barstow/,Tees & Trees Golf Course,http://www.golfcalifornia.com/courses/barstow/tees-and-trees/
55,Beale AFB,http://www.golfcalifornia.com/courses/beale-afb/,Coyote Run Golf Course,http://www.golfcalifornia.com/courses/beale-afb/coyote-run-gc/
56,Beaumont,http://www.golfcalifornia.com/courses/beaumont/,Morongo Golf Club at Tukwet Canyon - Champions Course,http://www.golfcalifornia.com/courses/beaumont/east-valley-gc-champ/
57,Beaumont,http://www.golfcalifornia.com/courses/beaumont/,Morongo Golf Club at Tukwet Canyon - Legends Course,http://www.golfcalifornia.com/courses/beaumont/east-valley-gc-legends/
58,Beaumont,http://www.golfcalifornia.com/courses/beaumont/,Oak Valley Golf Club,http://www.golfcalifornia.com/courses/beaumont/oak-valley-gc/
59,Bell Gardens,http://www.golfcalifornia.com/courses/bell-gardens/,Bell Gardens Golf Course,http://www.golfcalifornia.com/courses/bell-gardens/ford-park-gc/
60,Berkeley,http://www.golfcalifornia.com/courses/berkeley/,Tilden Park Golf Course,http://www.golfcalifornia.com/courses/berkeley/tilden-park-gc/
61,Bermuda Dunes,http://www.golfcalifornia.com/courses/bermuda-dunes/,Classic One/Classic Second at Bermuda Dunes Country Club,http://www.golfcalifornia.com/courses/bermuda-dunes/bermuda-dunes-cc-12/
62,Bermuda Dunes,http://www.golfcalifornia.com/courses/bermuda-dunes/,Classic Second/Lake at Bermuda Dunes Country Club,http://www.golfcalifornia.com/courses/bermuda-dunes/bermuda-dunes-cc-23/
63,Bermuda Dunes,http://www.golfcalifornia.com/courses/bermuda-dunes/,Lake/Classic One at Bermuda Dunes Country Club,http://www.golfcalifornia.com/courses/bermuda-dunes/bermuda-dunes-cc-31/
64,Bethel Island,http://www.golfcalifornia.com/courses/bethel-island/,The Bethel Island Club,http://www.golfcalifornia.com/courses/bethel-island/bethel-island-club/
65,Big Bear Lake,http://www.golfcalifornia.com/courses/big-bear-lake/,Big Bear Mountain Ski & Golf Resort,http://www.golfcalifornia.com/courses/big-bear-lake/big-bear-mountain-resort/
66,Bishop,http://www.golfcalifornia.com/courses/bishop/,Bishop Country Club,http://www.golfcalifornia.com/courses/bishop/bishop-cc/
67,Blairsden,http://www.golfcalifornia.com/courses/blairsden/,Feather River Inn Golf Course,http://www.golfcalifornia.com/courses/blairsden/feather-river-inn-golf-course/
68,Blairsden,http://www.golfcalifornia.com/courses/blairsden/,Feather River Park Resort,http://www.golfcalifornia.com/courses/blairsden/feather-river-park-resort/
69,Blythe,http://www.golfcalifornia.com/courses/blythe/,Blythe Municipal Golf Course,http://www.golfcalifornia.com/courses/blythe/blythe-gc/
